"Model","hauljoin","lon","lat","Folds","abund","pred","prob","cvpred","cvprob","error","cverror"
"cloglog",-14324,-127348.740275328,692505.639391133,"G",5,12.2242345619076,0.774090828978319,14.6844208760622,0.805141262937185,7.22423456190764,9.6844208760622
"cloglog",-14252,-474348.740275327,560005.639391134,"G",0,10.1805125942048,0.710300908803928,10.748863999101,0.697948258909103,10.1805125942048,10.748863999101
"cloglog",-19377,429651.259724671,1127005.63939113,"G",1,3.53339341385098,0.349487384013058,3.34960347122116,0.311377999166284,2.53339341385098,2.34960347122116
"cloglog",-14272,-235348.740275328,544005.639391134,"G",0,2.97153798832702,0.303452900648337,3.7710324965907,0.342952866935013,2.97153798832702,3.7710324965907
"cloglog",-17177,244651.259724672,965005.639391132,"G",16,6.65991715662048,0.555353354727902,7.20904739696979,0.551976298541786,-9.34008284337952,-8.79095260303021
"cloglog",-19150,-210348.740275328,558505.639391134,"G",6,5.32465268314761,0.476899153007409,5.83793659687091,0.478059349722894,-0.675347316852389,-0.162063403129094
"cloglog",-14108,-576348.740275327,574005.639391133,"G",11,13.9209742395134,0.816236590292321,14.487740131983,0.800825718233023,2.92097423951342,3.48774013198297
"cloglog",-19167,-11348.7402753279,664505.639391133,"G",0,7.45146967597711,0.596186832761079,8.72425692656561,0.621547957135299,7.45146967597711,8.72425692656561
"cloglog",-14947,935651.259724671,1053505.63939113,"G",0,2.11156828473774,0.226605701477121,2.24783925463951,0.221474522070732,2.11156828473774,2.24783925463951
"cloglog",-14954,1087651.25972467,913005.639391132,"G",10,3.75135099943703,0.366514918560689,4.03649546924176,0.362094749375088,-6.24864900056297,-5.96350453075824
"cloglog",-14091,-688682.07360866,524338.972724467,"G",1,19.0554719364304,0.901622814525459,22.4858399786863,0.918272527445514,18.0554719364304,21.4858399786863
"cloglog",-16605,-295348.740275328,532505.639391134,"G",1,9.94791702837023,0.70198364379955,9.89955688618814,0.667981700641399,8.94791702837023,8.89955688618814
"cloglog",-10604,-99348.7402753278,825505.639391132,"G",0,9.26041617334548,0.675977339689766,12.1169598401335,0.740637583806142,9.26041617334548,12.1169598401335
"cloglog",-16474,-477348.740275327,539505.639391134,"G",1,16.155565466248,0.859990311365158,16.7866072826656,0.845816504016523,15.155565466248,15.7866072826656
"cloglog",-14473,-346015.406941994,646672.3060578,"G",1,8.26823469747506,0.634393911451807,6.80034991508897,0.531111545852166,7.26823469747506,5.80034991508897
"cloglog",-14321,-93348.7402753278,624005.639391133,"G",0,4.3901698960331,0.413896909633645,5.16645829026112,0.437528807333627,4.3901698960331,5.16645829026112
"cloglog",-16692,-179348.740275328,716005.639391133,"G",3,11.1515051227733,0.74258789915809,13.3475444498445,0.773856498799282,8.15150512277328,10.3475444498445
"cloglog",-14433,-674348.740275327,467005.639391134,"G",0,6.21640887478561,0.530695207362133,8.2144280264219,0.599436758351094,6.21640887478561,8.2144280264219
"cloglog",-16863,231651.259724672,853505.639391132,"G",0,2.34650098168913,0.248403968623487,2.92434865772453,0.277978192175571,2.34650098168913,2.92434865772453
"cloglog",-10410,15651.259724672,664505.639391133,"G",0,4.80054673947023,0.442448382459225,6.68938380537277,0.525280655412866,4.80054673947023,6.68938380537277
"cloglog",-19184,-161348.740275328,613505.639391133,"G",0,10.8463089177115,0.732847672929999,12.3100610279123,0.746156054793526,10.8463089177115,12.3100610279123
"cloglog",-19665,221651.259724672,829505.639391132,"G",0,1.76116896290314,0.192913635597335,2.52883489088743,0.245461902484764,1.76116896290314,2.52883489088743
"cloglog",-14960,1145651.25972467,815505.639391132,"G",0,3.30852307272299,0.3314399780896,4.11301155460296,0.367507876530395,3.30852307272299,4.11301155460296
"cloglog",-17310,241651.259724672,1090505.63939113,"G",5,6.92714271826842,0.569580623806547,8.22978626649202,0.600121346984659,1.92714271826842,3.22978626649202
"cloglog",-19021,-103348.740275328,819005.639391132,"G",0,8.17303035676322,0.630133422669893,10.2871131605368,0.68200809520426,8.17303035676322,10.2871131605368
"cloglog",-14213,-160348.740275328,710005.639391133,"G",2,6.98677942642252,0.572693067373151,8.86112515863788,0.627273228886491,4.98677942642252,6.86112515863788
"cloglog",-14002,-673348.740275327,508505.639391134,"G",7,11.6541265565929,0.757860977147893,12.5509733184366,0.752876544120384,4.65412655659294,5.55097331843655
"cloglog",-10605,-41348.7402753279,800505.639391132,"G",1,4.42180067815885,0.416148655323475,5.1701728713414,0.437761460418889,3.42180067815885,4.1701728713414
"cloglog",-14438,-641348.740275327,511505.639391134,"G",34,9.5003761970512,0.685302570918596,10.0346745244465,0.672940755255046,-24.4996238029488,-23.9653254755535
"cloglog",-19032,-77348.7402753279,731505.639391133,"G",1,13.0591680922472,0.795917118765933,13.5552550966094,0.77902801193499,12.0591680922472,12.5552550966094
"cloglog",-10716,355651.259724672,1033005.63939113,"G",3,2.85268741552613,0.293305209357704,3.24297719498318,0.303151502085325,-0.147312584473867,0.242977194983176
"cloglog",-19119,-60348.7402753279,830505.639391132,"G",0,8.20182972796174,0.631427434563353,11.1016153043559,0.70958510256883,8.20182972796174,11.1016153043559
"cloglog",-17284,1144651.25972467,820005.639391132,"G",0,1.82723055407935,0.199376060119521,2.13710395597569,0.211813383768342,1.82723055407935,2.13710395597569
"cloglog",-15197,922651.259724671,1042005.63939113,"G",10,2.00243023357119,0.216265347944874,2.03361716764288,0.202676298017991,-7.99756976642881,-7.96638283235712
"cloglog",-16455,-669348.740275327,464005.639391134,"G",0,10.7965550927503,0.731225220888947,16.7904370809057,0.845882256125428,10.7965550927503,16.7904370809057
"cloglog",-14597,92651.2597246718,765505.639391133,"G",0,5.8884658917731,0.51158703081554,7.58957048945444,0.570567187181989,5.8884658917731,7.58957048945444
"cloglog",-17246,664651.259724671,1156005.63939113,"G",0,1.30649121525202,0.146997508621789,1.32596985578037,0.137293006647651,1.30649121525202,1.32596985578037
"cloglog",-19130,1651.25972467195,910505.639391132,"G",0,9.52461335450224,0.686229412581349,11.3269101422317,0.716781602615908,9.52461335450224,11.3269101422317
"cloglog",-19606,605651.259724671,1119505.63939113,"G",0,1.38029465130683,0.154624425831055,1.20846222501268,0.125928177499292,1.38029465130683,1.20846222501268
"cloglog",-18958,-156348.740275328,647005.639391133,"G",0,8.77496894978603,0.65625857077353,11.3416881338904,0.71724736889883,8.77496894978603,11.3416881338904
"cloglog",-18959,-170348.740275328,635005.639391133,"G",0,8.87736683409392,0.660515444196562,10.2355815741895,0.680177783837566,8.87736683409392,10.2355815741895
"cloglog",-17305,1319651.25972467,721505.639391133,"G",0,9.92927495320735,0.701306785014718,10.2489293841952,0.680652883139907,9.92927495320735,10.2489293841952
"cloglog",-15190,773651.259724671,1119505.63939113,"G",0,1.19605218915424,0.135455921075673,1.23037108827759,0.128058403755689,1.19605218915424,1.23037108827759
"cloglog",-17125,56651.259724672,721005.639391133,"H",0,6.08911829963744,0.523368812749136,8.64649768066417,0.58640611171274,6.08911829963744,8.64649768066417
"cloglog",-9975,-330348.740275328,528005.639391134,"H",2,7.97734363472947,0.621219705568461,8.24402224973228,0.569055101983395,5.97734363472947,6.24402224973228
"cloglog",-19176,-153348.740275328,719005.639391133,"H",0,10.4845008084982,0.720822139832364,13.5023897841514,0.748092387798831,10.4845008084982,13.5023897841514
"cloglog",-10375,-151015.406941994,684672.3060578,"H",2,12.7272740385661,0.787505548642196,14.5428311888819,0.773481704767763,10.7272740385661,12.5428311888819
"cloglog",-15093,1124651.25972467,863005.639391132,"H",0,2.99995016959687,0.305857127618427,3.82851948965828,0.32356564798169,2.99995016959687,3.82851948965828
"cloglog",-18910,-602682.07360866,559338.972724467,"H",0,9.57103579061736,0.687997016626401,12.7763170196085,0.728706910255772,9.57103579061736,12.7763170196085
"cloglog",-9839,-253348.740275328,667005.639391133,"H",0,8.65418304684899,0.651168604849895,10.3524874235395,0.652525771294462,8.65418304684899,10.3524874235395
"cloglog",-9841,-251348.740275328,695505.639391133,"H",20,13.4306613724507,0.80493799185996,15.4555255576545,0.79363778779025,-6.56933862754927,-4.54447444234548
"cloglog",-14590,139651.259724672,818505.639391132,"H",0,7.48141121707303,0.597655537970301,8.81450909887971,0.593440882042015,7.48141121707303,8.81450909887971
"cloglog",-14233,-91348.7402753278,715005.639391133,"H",1,12.3971026968857,0.778793663105616,14.9626749400056,0.782987144494558,11.3971026968857,13.9626749400056
"cloglog",-14001,-659348.740275327,515505.639391134,"H",16,10.5210036877094,0.722059553288253,13.0272131708085,0.735568718023661,-5.47899631229062,-2.97278682919152
"cloglog",-15023,-49348.7402753279,632005.639391133,"H",0,6.04029583916848,0.520528514705985,7.50650807588892,0.535349349874343,6.04029583916848,7.50650807588892
"cloglog",-9764,-710348.740275327,463005.639391134,"H",0,4.68144301635654,0.434308228799791,6.01090513048441,0.458686904377679,4.68144301635654,6.01090513048441
"cloglog",-14606,31651.259724672,774505.639391133,"H",0,6.39834648655721,0.54097180912853,8.44825911314493,0.577949001740507,6.39834648655721,8.44825911314493
"cloglog",-14943,861651.259724671,1114005.63939113,"H",0,0.89341936334755,0.103022260070974,1.11573806029195,0.107675146058889,0.89341936334755,1.11573806029195
"cloglog",-14675,252651.259724672,950005.639391132,"H",12,9.78956338034098,0.696184945934756,10.3488960705785,0.652398327934886,-2.21043661965902,-1.6511039294215
"cloglog",-16750,-267348.740275328,635505.639391133,"H",4,6.26092684646838,0.533230834943781,6.97374861386269,0.509372847531646,2.26092684646838,2.97374861386269
"cloglog",-19726,262651.259724672,873505.639391132,"H",0,3.10727223485447,0.31486403956509,4.05600156247478,0.339096514217021,3.10727223485447,4.05600156247478
"cloglog",-9977,-326348.740275328,518005.639391134,"H",6,3.71997755808537,0.364091664938136,3.85118444738573,0.325129281678535,-2.28002244191463,-2.14881555261427
"cloglog",-9807,-420348.740275327,569005.639391134,"H",10,8.85890075557512,0.65975168973215,8.88126818647821,0.596202805416781,-1.14109924442488,-1.11873181352179
"cloglog",-14207,-193348.740275328,567505.639391134,"H",0,4.73300921128743,0.43784701222202,5.87090287162664,0.450893120819944,4.73300921128743,5.87090287162664
"cloglog",-14811,160651.259724672,890005.639391132,"H",0,6.60364603289507,0.552298015404658,8.36510329285546,0.574350186615877,6.60364603289507,8.36510329285546
"cloglog",-15191,790651.259724671,1107505.63939113,"H",0,1.38325932140991,0.154929368868249,1.87917813942838,0.174592313731186,1.38325932140991,1.87917813942838
"cloglog",-10683,190651.259724672,834505.639391132,"H",1,11.9549216761907,0.766564240221096,13.3049560711405,0.742962540784657,10.9549216761907,12.3049560711405
